"filename", "language", "Properties", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\.env", "Properties", 3, 0, 0, 0, 0, 3
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\auth.js", "JavaScript", 0, 0, 62, 0, 10, 72
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\customer.js", "JavaScript", 0, 0, 384, 97, 103, 584
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\store.js", "JavaScript", 0, 0, 280, 9, 85, 374
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\user.js", "JavaScript", 0, 0, 69, 0, 27, 96
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\addToCart.js", "JavaScript", 0, 0, 6, 0, 4, 10
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\chat.js", "JavaScript", 0, 0, 7, 0, 4, 11
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\post.js", "JavaScript", 0, 0, 18, 0, 5, 23
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\product.js", "JavaScript", 0, 0, 17, 0, 5, 22
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\review.js", "JavaScript", 0, 0, 10, 0, 4, 14
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\sale.js", "JavaScript", 0, 0, 14, 0, 4, 18
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\store.js", "JavaScript", 0, 0, 13, 0, 4, 17
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\user.js", "JavaScript", 0, 0, 29, 0, 4, 33
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\auth.js", "JavaScript", 0, 0, 7, 0, 6, 13
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\customer.js", "JavaScript", 0, 0, 53, 0, 4, 57
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\store.js", "JavaScript", 0, 0, 60, 2, 25, 87
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\user.js", "JavaScript", 0, 0, 15, 1, 9, 25
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\index.js", "JavaScript", 0, 0, 60, 1, 10, 71
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package-lock.json", "JSON", 0, 7053, 0, 0, 1, 7054
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package.json", "JSON", 0, 28, 0, 0, 1, 29
"Total", "-", 3, 7081, 1104, 110, 315, 8613